tc,isim,sifre,maas,kira,fatura,aidat,ev,araba
7910798822,Luigi Pope,7,$5653.63,$3198.74,$155.67,$269.41,,true
1772154229,Danette Ockwell,4,$13856.26,$2392.42,$238.71,$31.09,,false
7394677664,Ann-marie Franzel,71655,$14092.71,$3447.66,$481.35,$193.78,,false
2247135331,Jeanelle Chislett,128,$11523.07,$2779.52,$211.21,$183.06,false,true
2217280031,Giordano Rainville,8065,$11297.94,$1942.81,$559.37,$150.56,,true
3272316000,Halsey Laudham,8,$14195.83,,$396.80,$261.08,true,true
6946564499,Doreen Asplin,12,$6503.75,$4981.74,$220.04,$220.95,true,false
9469803523,Orella Waterstone,273,$14772.99,,$154.83,$209.05,false,true
1237108713,Bunny Derle,072,$5106.99,,$335.70,$256.41,false,false
4436432602,Saloma Babbidge,300,$9216.50,$3247.31,$165.05,$50.38,,false
5049178452,Clary Stratiff,0,$12902.34,$2218.26,$515.60,$81.58,,true
8557839731,Antonetta Doughton,385,$8062.34,$2303.80,$296.20,$231.31,false,true
2345508841,Burke Huck,589,$10932.61,$1928.42,$556.61,$371.38,,false
4916289463,Salvador Lelievre,0380,$7650.42,$1865.31,$281.03,$188.29,,false
6203206148,Errick Rikkard,712,$8803.61,$2191.51,$334.97,$106.66,,false
2986353533,Alfy Vescovini,416,$6839.54,,$458.35,$190.33,,true
3829926472,Reilly Depke,9,$5874.13,,$294.04,$258.72,,false
0972166068,Denis Braams,4131,$12524.48,$1784.71,$587.89,$125.30,,false
7766459876,Bourke Queree,934,$14064.64,$3786.02,$576.34,$171.00,false,false
5997362892,Collie Tadlow,361,$8191.00,$4755.93,$321.09,$185.27,,true
9379350163,Lisa Blacksland,6701,$7992.15,$1879.20,$319.36,$240.29,false,false
7215350673,Meta Dyers,8072,$12672.36,,$435.41,$152.68,false,false
9505186851,Selena Willans,04792,$8865.47,,$582.73,$173.73,,false
4186359806,Bone Carpmile,0,$8501.77,$4069.03,$424.03,$270.39,,false
3645796274,Stanfield Kondrat,23,$8580.49,$2896.26,$525.81,$357.32,,false
3888410150,Khalil Noorwood,222,$7780.93,$4312.56,$230.06,$58.39,,false
8019493808,Fallon Gligoraci,353,$10363.22,$742.18,$175.97,$205.38,,true
2789559554,Otha Tchaikovsky,485,$14469.02,,$318.02,$35.87,true,true
1958112984,Dinah Cridland,6,$11548.35,$3158.13,$363.10,$46.39,,false
1717701701,Dominique Derycot,4192,$7840.96,$1958.50,$356.18,$132.72,,false
7584807763,Ladonna Forbes,21574,$12700.09,$2686.97,$449.36,$314.51,,true
9734067176,Pennie Pawlik,6,$7960.97,$4465.92,$545.36,$84.26,true,false
2608558542,Dene Righy,6714,$3131.59,$3143.52,$420.28,$170.69,false,true
2053633174,Carolynn Scarf,77,$3954.46,$3406.15,$174.29,$225.82,false,true
2022096118,Louis Breitler,97,$11383.51,$899.25,$413.01,$65.87,,true
4878128925,Candida Brahms,30,$11631.92,$2582.01,$297.07,$252.05,,false
5151192000,Adrian Wanklyn,2873,$9769.39,,$264.11,$318.60,,false
0281751951,Jolene Soutar,23,$4791.55,$2200.36,$196.89,$96.65,false,true
0469467215,Samuel Engley,44,$11512.57,$2150.27,$495.41,$219.10,,true
0151152683,Carla Gleave,4339,$10212.94,$2729.49,$561.77,$249.93,,false
1041029063,Alexandra Tume,40996,$7720.98,$1525.87,$516.69,$124.57,,false
9017142499,Aubine McGuiney,38,$6231.05,,$260.57,$227.12,,false
6634886970,Dermot Yandle,35,$14411.72,$3025.76,$587.23,$395.45,,true
9354397026,Dickie Hayley,64,$12022.39,$4226.74,$365.64,$77.45,,false
9135235101,Arlin Mabbutt,239,$11571.34,$1701.15,$329.61,$194.37,,false
0394097424,Letizia Dermot,50,$12132.13,$2704.23,$231.05,$134.76,,true
9984406946,Marney Carren,063,$14047.59,$2621.06,$412.01,$269.51,,true
6513156505,Judas MacNelly,35247,$4346.14,$4301.29,$232.50,$204.22,,true
0062659545,Duke Haire,39185,$10195.11,,$540.99,$299.25,false,true
1377186490,Rosalind Lenz,47735,$12510.73,$3708.54,$431.21,$179.46,true,true
4311975481,Lebbie Godart,362,$13032.62,$3540.35,$344.05,$43.83,,false
1392638445,Luce Bernardez,94,$12728.35,,$597.57,$219.53,true,false
2588174450,Yetta Crannage,08,$4726.78,$4535.32,$518.27,$203.28,,false
5759276689,Lock Klasen,56197,$11458.77,$4719.36,$358.53,$367.85,,false
7146362302,Raquel Moquin,0,$11705.21,$4887.40,$496.67,$43.89,false,true
9363986608,Tedie Pinckney,5627,$7909.42,$1859.07,$308.97,$228.54,false,false
0695282352,Jody Bernardotte,26,$8104.70,,$160.81,$88.02,,true
9656871480,Ava Dutchburn,4,$3311.22,$3195.23,$336.35,$248.99,,false
1874638640,Rosalinde McCrossan,0040,$9163.92,$3172.46,$315.46,$225.74,,true
7467826354,Petrina Alfonsetti,1005,$13941.67,$3579.69,$168.57,$323.85,true,true
8200842657,Hansiain Lorkings,11870,$3956.16,,$239.02,$105.91,,true
9206414232,Minette Reveland,1,$6476.94,$2183.63,$591.79,$352.52,true,true
8551904272,Moira Midlar,07543,$10767.49,$4857.99,$555.59,$300.01,true,false
7342114340,Paddy Laurens,873,$4048.80,$1599.34,$502.36,$339.33,false,true
0500396612,Garfield Luna,07883,$5179.44,,$454.46,$68.68,true,true
5988097103,Micheline Shute,380,$11277.89,$2532.68,$165.08,$119.40,,true
2603448528,Cob Pieters,6,$8790.54,$1107.50,$164.16,$321.83,,true
8212100324,Efren Pulham,793,$5425.51,$3343.65,$355.62,$127.02,true,false
2849575135,Modesty Littefair,43378,$11632.77,$1682.33,$297.13,$340.26,,false
0143621963,Enrichetta Luff,4,$14035.13,$2543.31,$302.69,$222.10,true,false
0245667636,Allx Raulston,3,$10637.04,$1197.02,$588.14,$355.54,,true
3297543280,Elsey Costard,81341,$5861.52,$1256.96,$411.74,$47.11,,false
4343214109,Maddy Demeza,3,$9386.12,$3885.52,$187.40,$331.70,false,true
9808504116,Angele Henrionot,5,$5909.25,$3731.68,$306.06,$203.52,,false
5516038642,Fulton Goolden,1402,$10556.17,$1485.19,$599.87,$109.16,,false
7799735198,Robinette Durkin,53120,$13569.53,$2197.09,$509.95,$119.83,,true
7799101199,Faber Batey,7685,$14262.41,,$335.54,$375.97,,false
2459215533,Gustavo Hounsham,282,$4231.25,$1289.20,$398.64,$245.94,,true
9510891215,Lise Galtone,1,$7381.12,$1484.17,$213.37,$124.94,false,true
1968895426,Albert Fireman,87101,$9584.22,$4409.89,$226.88,$151.44,true,true
0862499135,Humberto Ketcher,19782,$6402.74,$1947.37,$501.74,$176.21,,false
7935125309,Germayne Goodhand,6939,$12698.04,$2011.59,$232.46,$374.06,,false
9537647390,Leo Schultheiss,6505,$10277.43,$2210.81,$375.85,$226.42,,true
3248139676,Madelon Burgoyne,4,$10868.82,$3659.69,$256.54,$286.99,false,true
7424590359,Obediah Avramchik,27514,$12925.38,$3596.82,$595.57,$225.88,true,false
6400040234,Aaren MacDonagh,05,$10721.45,$4053.56,$150.69,$228.18,,false
2295450373,Kirbee Clawson,50060,$6507.63,$1930.74,$587.33,$242.51,,true
7021065531,Cheslie Bridle,7,$5000.46,,$545.00,$260.87,false,true
0160285356,Florenza Trench,885,$6653.42,$3580.65,$420.57,$115.81,,false
8128880543,Thomasine Dakers,2862,$6913.04,,$558.16,$298.48,false,false
5168398715,Sheri Pumphreys,52,$8609.45,$4736.76,$174.04,$195.96,true,true
1406435333,Mortie Apedaile,89,$10832.01,$709.33,$282.00,$24.31,,false
8926255395,Wendeline Barttrum,5481,$3026.53,$3925.44,$410.84,$214.93,true,true
0965877469,Ephraim Imbrey,704,$11232.87,,$411.42,$236.15,,false
4475460042,Mischa Bonn,02,$10307.56,$2659.81,$452.38,$186.38,,true
3865865550,Danni Schistl,423,$5795.19,$2386.87,$293.33,$89.75,,true
6664563649,Ardyce Markwell,34499,$14908.52,$3568.76,$429.99,$176.54,,true
9531990344,Petr Bolin,4744,$4575.19,$1290.35,$546.50,$224.30,,false
0038386941,Doy Pegram,414,$10274.99,$3086.50,$506.38,$363.75,true,false
9023208870,Millard Extence,39,$6278.54,$902.11,$364.82,$97.40,false,false
9677021540,Connie Byneth,1287,$4007.65,$4233.64,$312.51,$276.99,false,true
8723069287,Aveline Pavlov,97,$5456.02,$3560.15,$294.46,$230.50,,false
3466016479,Nikoletta Barks,4815,$6194.17,$1884.37,$165.27,$284.09,,false
2869345224,Melita Hansie,418,$5795.68,$3640.30,$561.96,$59.93,,false
4824810957,Ulises Craik,226,$13498.27,,$285.70,$57.96,true,true
5873035334,Fonzie Allmen,355,$4105.94,$4397.19,$492.59,$63.18,false,false
5232569554,Amaleta Konerding,07274,$3592.49,$4090.59,$522.84,$272.38,,false
7681362657,Lavena Bohlens,86925,$14298.44,$3342.84,$314.06,$24.18,,true
4870164639,Paule Sawood,0,$10161.83,$1733.06,$580.47,$280.59,,true
4417984964,Karie Pimblott,6454,$10722.51,$2397.04,$520.77,$135.11,,false
7329914487,Ira Beccles,6,$14919.30,$2117.10,$434.81,$230.23,,true
9313646617,Cob Fowkes,4,$13602.41,$1509.60,$313.84,$183.12,,true
0186977530,Wenonah Ipgrave,49,$8066.25,$3119.13,$213.67,$83.28,,true
1724747762,Ernestus Balcers,0,$5468.63,,$202.20,$236.56,,false
3596777380,Melli Shimman,69377,$8302.55,,$223.44,$43.45,,true
4408620378,Wyatan Phillimore,9747,$5862.50,$2858.40,$465.25,$182.00,,false
9342181414,Lesley Strevens,840,$3311.73,$4159.89,$278.40,$134.40,false,true
1081119365,Clementia Richarson,3,$6859.27,$2723.91,$555.93,$38.84,,true
8849704569,Filippa Whye,61794,$6893.21,$4445.15,$157.33,$255.31,,false
4950448331,Hedwiga Findlow,8,$12240.10,$1320.31,$597.88,$297.02,false,true
4481145080,Tod Waterhous,2471,$10481.79,$1193.32,$209.39,$196.70,false,false
6479238141,Marice Widdowes,3,$9771.20,,$407.77,$222.22,,true
2140488393,Murdoch Collett,99,$5299.96,$3200.18,$281.21,$105.66,,false
7426993310,Boot Biasi,44010,$13898.64,$966.68,$347.34,$367.98,,false
9483261651,Gaile Krienke,45129,$8199.28,$4518.62,$320.28,$45.90,,true
9019853929,Phillip Tunna,2,$6728.10,$1758.45,$183.57,$110.65,true,false
9510965502,Boonie Hannant,25,$4450.42,,$438.91,$34.51,,false
5808528011,Garv Randals,674,$3511.31,$3786.93,$400.62,$24.05,,true
2770842897,Bruis Lowrie,0,$14204.42,$2426.51,$330.90,$243.61,,true
7672921770,Ilyssa Fardy,6697,$6193.25,$2128.09,$258.46,$310.79,,true
3082590144,Katie Cunningham,20491,$9135.56,$4464.96,$541.23,$202.39,,true
8744049730,Dominic Fripp,1,$13061.52,,$514.09,$211.35,,false
0553688316,Lurleen Woollons,7,$11921.99,$2206.37,$490.04,$281.22,,false
5447055385,Bernette Kaes,0,$6746.15,$2341.60,$174.42,$224.43,,false
5338245183,Marcelline Loft,0,$4648.26,$1428.08,$548.70,$180.32,true,true
5923944537,Maynard Morton,6,$12484.69,$2041.69,$229.92,$26.34,true,true
0810870711,Hilton Dearle-Palser,95119,$14169.13,$925.54,$384.15,$183.70,,true
6870169535,Timmy Baumer,6,$11657.27,$4519.44,$174.27,$344.51,,true
8580076005,Roseanne Estabrook,58,$9424.53,$2049.19,$314.57,$238.38,,true
3342948604,Beck Eadon,98866,$6213.20,$2559.18,$170.38,$246.41,,true
5996425262,Camella Olver,67,$9757.45,$3847.89,$301.78,$48.49,,true
2874283819,Lorna Vaux,7,$13812.34,$3158.01,$371.43,$34.33,,true
4384291736,Taffy Feehery,6,$8366.74,$977.77,$565.51,$257.47,,false
8703440109,May McKenna,82525,$13264.54,,$562.97,$131.38,,false
7716705202,Juliet Gillani,12152,$3821.51,$2747.36,$552.65,$281.87,false,true
7738268204,Daphna Oglesbee,839,$12532.84,$3941.08,$483.56,$25.19,true,true
9410748968,Kerrie Revey,67335,$10165.58,$3348.60,$196.34,$105.39,,false
3086301775,Electra Creigan,7746,$7179.49,$1093.14,$561.59,$315.68,,true
5348293431,Marla St Angel,53,$13584.41,$1952.75,$433.56,$48.73,false,true
2265134996,Arturo Swigg,8,$9041.45,,$541.07,$217.35,,false
4575964751,Shayna Bruhnsen,473,$13068.49,$2525.30,$405.47,$308.57,,true
2479043304,Lulita Cremen,1,$10481.39,$4720.10,$295.18,$155.33,,false
1711255874,Base Cowtherd,60,$12248.02,$2749.30,$348.21,$77.68,,true
9966122060,Lorens Batsford,39192,$4670.03,$4470.93,$227.00,$157.64,,true
1083339389,Briana Capponer,7,$7906.10,,$152.12,$125.28,,true
5856253493,Micky Cowser,484,$12647.86,$2554.58,$585.25,$218.12,false,true
5107159508,Penny Moorwood,21640,$7485.62,$4982.68,$206.52,$179.48,false,true
3800151197,Babette Cockram,32875,$14655.83,$4607.11,$215.77,$91.14,,true
1719734089,Merill Elmhurst,5383,$7458.79,,$331.73,$66.61,false,true
5813777032,Maryl Lamps,85255,$14124.30,$1600.35,$410.26,$78.40,false,false
0958646872,Yevette McGuigan,1,$11025.63,$2318.67,$413.44,$281.46,,true
8767054323,Tiphanie Costock,8,$8351.61,,$159.71,$38.72,,false
3207003079,Rafe Ludye,14,$6359.65,$2970.14,$399.65,$29.16,,false
7386196326,Ambros Winsor,4956,$10520.82,$1341.35,$419.99,$123.64,,true
2686353422,Storm Gatman,62,$12232.43,,$403.67,$105.30,,false
9915004524,Balduin Gillan,6118,$4292.83,,$417.33,$268.17,,true
6907178087,Adolphe De Few,41676,$7739.56,,$343.96,$391.26,,true
7533185641,Carolyne Boorman,8,$10513.93,$1726.69,$574.86,$159.91,,true
5638135081,Happy Beidebeke,2,$6057.19,$675.62,$463.33,$126.45,true,true
0712493115,Natty Folcarelli,2,$13552.31,,$194.26,$304.40,,true
5737857778,Dillie Fortune,7639,$8748.98,$4119.74,$353.46,$86.76,false,true
2379099820,Rey Peplaw,3700,$11715.61,$3873.92,$383.19,$319.95,true,false
8133990394,Shepherd Ellaman,471,$9060.06,$1603.77,$391.92,$252.09,,true
2116344212,Di Deroche,3,$9620.39,$1742.89,$563.46,$369.06,true,false
2146367784,Trixie Pietzke,25,$5987.06,$710.44,$327.36,$181.62,false,false
2741907382,Lancelot McTerry,3571,$10794.79,,$463.48,$31.21,,false
0051124920,Brandi Dabinett,9480,$8346.86,$1853.80,$567.61,$299.27,false,true
4936399043,Courtney Hartnup,52409,$4516.98,,$409.89,$155.31,true,false
4582391176,Bernardina Rolfe,08407,$12483.43,$2593.23,$510.49,$254.98,false,false
2166599346,Yolande Byrkmyr,026,$11334.43,$1298.61,$436.74,$343.97,,true
8807650215,Averell Raatz,432,$10415.45,,$423.23,$174.66,,false
3220164013,Trudey Broddle,40685,$8407.28,$2388.44,$364.04,$296.66,,true
8658825825,Phaedra Glew,676,$5270.27,,$444.22,$25.24,true,false
4821803577,Henry Oman,23,$12810.79,$921.91,$545.00,$317.15,,false
3077923432,Inglebert Romanini,293,$6283.22,$2023.80,$341.71,$42.83,false,false
4876933499,Maria Rangle,5,$3868.61,,$559.18,$311.65,,false
9501707830,Peterus Cohrs,4,$12070.19,$3609.37,$466.28,$87.96,false,true
4592575539,Libbie Gumn,59839,$7433.86,$1545.18,$504.68,$55.49,,true
6703371784,Mildred McPhillips,70,$13317.03,,$285.44,$344.08,true,false
7676680603,Kenn Stoves,5060,$13354.11,$2029.84,$360.51,$362.80,,false
8937312166,Cindra Paten,914,$11837.52,$1995.80,$450.12,$344.73,,true
2725594324,Kristin Giacobbo,8,$12873.50,$917.81,$417.57,$388.60,,true
9431001721,Stacee Sprake,28,$5160.02,$3249.37,$352.54,$146.92,,false
5143864011,Jenny Dive,5,$3354.83,$2554.81,$496.30,$387.33,,false
0125751125,Teirtza Kunzelmann,995,$5171.75,$3527.80,$504.55,$326.49,,true
7248620106,Stewart Fane,083,$13361.12,$2150.90,$501.53,$378.54,,true
5573492713,Tadeo Goney,723,$9752.57,$850.53,$153.05,$151.37,,false
7181580604,Octavius O'Collopy,408,$4081.52,$4799.47,$388.63,$323.17,,true
1973138190,Geordie Hoyer,81758,$13066.42,$958.18,$322.74,$225.73,false,false
0987580620,Marrilee Grundle,17524,$5839.14,$3208.44,$238.04,$47.78,,true
1729739997,Con Champley,3,$6935.91,$3208.59,$329.55,$20.45,,true
4473426467,Trixie Zanetto,30068,$8972.64,,$250.99,$26.75,,true
5007587303,Archibaldo Mose,1736,$3892.61,$2842.65,$151.74,$398.68,,false
4875396619,Jodie Scutchings,13077,$11980.87,,$197.37,$376.88,,true
8482927825,Finn Lennard,146,$11240.40,$2189.88,$258.49,$390.92,,true
4704083349,Zachary Forre,0957,$10957.84,,$575.99,$70.61,true,true
8489417040,Ugo Flockhart,3051,$14167.41,,$385.70,$32.54,false,false
6180800820,Donnie Joyner,92354,$4698.30,$3811.17,$389.97,$363.39,,true
1127194623,Andie Bordes,07145,$5658.01,$3376.18,$338.81,$231.16,,false
1087189519,Tris Finch,94,$8433.61,$4946.68,$510.94,$160.52,,false
5448939783,Amara Sloy,308,$11721.25,$3681.45,$521.59,$236.16,,true
1336573813,Arlie Bowart,3801,$6640.34,$2614.16,$413.83,$22.38,,true
0179986783,Yetty Ashelford,6985,$14152.85,$1006.02,$537.18,$253.30,true,true
9537496872,Cathyleen Sivil,105,$8923.69,$946.39,$363.40,$369.83,false,true
3509576292,Shirline Gibbins,148,$9709.71,$2130.10,$285.24,$102.85,,false
0051942682,Kirsti Danell,6,$13451.81,$2891.17,$452.71,$209.55,false,true
3600647377,Jasen Roycraft,3868,$12062.59,$3557.05,$262.93,$87.09,,true
9419321940,Christal Izchaki,30148,$6367.05,,$462.49,$144.56,,false
1417566167,Simon Estrella,4876,$6132.55,$1694.84,$342.21,$285.59,,false
3790038814,Sergei Joblin,7657,$7419.64,$3892.55,$448.23,$386.47,,true
5579059329,Katharyn Ainslee,79916,$14555.48,$2563.65,$303.84,$201.33,,false
6920799588,Tamara Proudman,097,$5951.88,,$554.83,$245.10,true,false
5841346113,Biddy Lugard,3126,$6575.98,,$381.02,$86.75,true,true
1174396601,Kendricks O' Hanvey,30,$10652.62,$4109.81,$195.24,$171.07,,true
7463674525,Jdavie Blaschek,441,$8026.83,$1901.90,$505.16,$313.88,,false
6309178695,Arel Cona,5746,$4522.72,$999.98,$497.80,$24.74,,true
5853059564,Dino Maben,62998,$5495.10,$2077.73,$452.17,$211.53,,true
8634122190,Danita Grimley,3460,$10270.12,,$180.16,$344.66,false,false
9089997563,Magdalen Trematick,5694,$13465.68,$742.80,$404.02,$203.60,,true
5461092810,Consalve Guillond,219,$14004.43,$1600.26,$286.31,$199.33,false,false
8862346077,Alex Coutts,05019,$14707.45,$754.87,$223.14,$322.90,,true
1966788452,Reinald Hintzer,62160,$11855.35,,$437.10,$139.53,,true
4159808409,Madlin Maskrey,66391,$10828.33,$3558.50,$493.52,$88.81,,true
1110846592,Bucky Szabo,86,$11611.88,$4075.16,$298.77,$272.96,,false
9747846217,Melony Gregorace,2,$10538.45,$753.51,$448.50,$70.81,,false
7158469417,Rudy Matisse,1,$8066.13,$2899.30,$198.37,$54.35,,true
4469714682,Gavin Knoton,564,$13813.91,$4304.80,$444.32,$101.42,,false
5617845357,Debi Janman,3,$4663.66,$4424.13,$550.68,$133.13,,false
0790614049,Janos McFee,2920,$10429.40,,$468.34,$225.11,,false
6339531989,Isidor Gianelli,1767,$12192.33,,$180.41,$249.50,false,false
0543316181,Barney Paler,9018,$5444.76,$3423.89,$380.18,$210.10,,true
1709859725,Janetta Taylorson,2,$4050.04,$1734.35,$545.69,$103.86,true,false
3062929065,Sashenka Durrad,23,$7237.57,$4747.05,$243.29,$169.64,,true
1107545838,Dian Seargeant,6,$12408.80,$3757.88,$382.99,$296.98,,false
9461756291,Brigg Poznan,1,$7906.49,$2644.84,$325.79,$218.48,true,false
1159306729,Kimmi Tibald,5189,$10418.33,$2777.43,$329.82,$305.62,,true
4047304255,Johnna Hinkley,4,$5079.63,,$368.76,$290.26,,true
1681359162,Cloe Reddy,196,$13281.56,$891.93,$520.15,$298.46,,true
0392127725,Thayne Banfill,67,$14255.57,$4953.62,$492.82,$138.73,,true
0392972581,Patin Truett,81,$8758.88,$3967.65,$353.41,$277.08,,true
9049826342,Ted Winstone,76492,$3042.18,,$507.39,$145.97,,false
8165039776,Sarette Smallpeice,96141,$6419.99,$1148.32,$502.08,$318.24,,true
8099000501,Aleece Heiner,2,$8541.82,,$158.60,$298.25,false,true
1389711749,Kathlin Paye,7,$10605.15,$1647.61,$554.06,$33.03,,true
8398855967,Gabbie Jobin,617,$10691.02,$1786.08,$460.35,$330.08,,true
6250826602,Grange Durtnall,25,$6696.68,$1136.84,$404.88,$70.34,,false
1766649599,Patty Batiste,979,$3114.73,$3939.37,$545.28,$116.79,,true
1568177879,Frayda Landor,7801,$4175.41,$1375.59,$179.19,$302.20,false,false
1101500662,Dore Benoey,87652,$14894.59,$1242.58,$175.41,$165.29,,false
9296281024,Alyosha Condon,6,$8695.51,$2223.82,$599.98,$136.91,,true
8646562247,Bill Jendrys,90,$3005.89,,$449.24,$366.00,,false
7148146992,Laurens Witherby,8776,$6968.79,$2954.68,$517.65,$128.30,false,false
6024955022,Goran Pepperell,9,$5591.93,$4792.84,$442.84,$264.60,,false
6984039967,Olivero Frankish,36415,$6797.56,$649.69,$389.99,$128.98,,false
5379422845,Vladimir Moseley,5,$12426.67,,$535.26,$27.51,true,true
5946622870,Lauri Lyddiard,24,$4124.13,$1538.57,$199.00,$362.70,,false
5660258972,Iorgo Scamadine,73,$13662.82,$3531.86,$184.50,$49.22,true,true
8063621360,Maggee Pottage,51,$6942.45,,$519.41,$129.86,true,false
8372836213,Cyrillus Jenoure,71,$7574.36,$4866.60,$596.59,$162.43,,false
7491755224,Orella Easun,4693,$10556.06,$2468.26,$280.79,$349.08,,false
2177265800,Lexie Twycross,09360,$4360.38,$3852.20,$580.78,$177.53,,true
9736407152,Jacques Lung,883,$6889.24,$2966.90,$341.19,$142.14,,true
3904747142,Fields Cosslett,4873,$11715.02,,$219.13,$229.15,,true
6383205536,Rudie Shord,088,$3029.85,$1403.60,$571.46,$172.60,,true
9714973287,Melody Hoxey,97292,$7156.32,$2054.19,$281.43,$183.38,,false
6713288219,Benedetta Vsanelli,6308,$3652.31,$824.62,$356.58,$329.47,true,false
3279453011,Paul Seifenmacher,7604,$5898.26,$1530.03,$264.78,$306.71,,true
3149408237,Colline Horley,762,$5092.89,$4771.51,$168.41,$230.82,,false
6873363405,Hannie Hevey,53957,$4866.02,,$290.84,$91.18,false,false
7918099664,Joete Costar,72,$11299.29,$1215.77,$305.57,$380.90,false,true
6570702661,Rick Poncet,0,$4461.81,,$226.52,$358.03,,true
4224669021,Hollie Markovich,17,$4459.28,,$571.92,$150.49,false,false
9103537064,Mariele Poulney,9,$9260.99,$4019.09,$487.78,$312.16,true,false
3824251264,Tana Dockwray,4158,$9227.99,$2849.84,$419.43,$134.35,,false
5138909819,Shae Swancock,6161,$10771.60,$3927.10,$242.30,$189.70,true,false
0432993649,Vitoria Duckerin,634,$12756.35,$2595.85,$244.33,$147.34,,true
8718254365,Vince Ferrero,1,$9779.41,$858.15,$264.80,$116.70,,true
6229468298,Brunhilde Childerley,142,$7463.03,$1230.47,$314.17,$284.76,true,true
3561053076,Benedict Neligan,60,$13799.05,$1821.53,$365.68,$363.54,false,true
6508919717,Keane Gebbie,42029,$14784.33,$4446.06,$171.64,$133.60,,false
6876397475,Janis Yard,5,$8660.51,$4198.63,$210.49,$96.21,false,false
0805668640,Sada Liepins,4951,$12399.67,$3429.52,$471.33,$336.54,,true
9891358607,Humfrey Wysome,627,$3677.17,,$232.13,$200.87,,true
5638768661,Yehudit Fluin,239,$13924.42,$3605.12,$518.22,$192.94,,true
1376780321,Claudie Cussins,41,$9572.92,$3699.95,$344.38,$241.06,,false
6472602476,Una Egan,923,$5539.92,,$365.95,$164.09,,false
9078897422,Pierre Maus,95657,$12360.64,$2258.38,$543.87,$76.47,true,true
4097194577,Fabe Escolme,155,$8026.61,$1871.59,$404.78,$283.53,false,false
1199865435,Maggie Abrehart,8714,$14530.00,$1518.41,$316.34,$160.69,,true
2648882677,Marsh Enstone,078,$5142.63,$3742.11,$337.29,$200.43,,true
6831694276,Vyky Sappson,32,$11367.72,,$541.60,$342.38,,true
0769635407,Stephanus Thomke,13485,$14304.69,$1441.36,$476.01,$72.55,,true
2069731731,Dario D'Alesio,2,$3385.84,$886.77,$575.22,$327.39,,true
8097944804,Arlen Flaubert,6,$8509.44,$4996.04,$483.91,$216.00,true,true
5885714746,Harmon Lees,204,$6699.66,$4688.74,$302.51,$196.41,true,false
7871200240,Bess Trewin,48,$6690.38,$3886.72,$333.72,$154.38,,false
0855340355,Peg Klesse,44,$12008.48,$1227.46,$543.00,$389.12,,false
1758191899,Babb Mohammad,30,$14430.80,$4831.28,$524.14,$122.92,,false
6612715987,Isabel Pordal,74460,$12061.11,$1374.87,$421.12,$133.30,,false
5417858935,Boy Gonnely,66,$11592.89,,$522.10,$183.17,true,false
2612498826,Reed Bottell,11,$13448.01,$4691.26,$506.86,$148.73,,true
3696191833,Davie Pavett,86176,$8848.86,,$293.79,$114.99,false,false
8749592270,Osbourn Rubenov,4,$10276.52,$4858.84,$464.37,$117.85,,false
5669658701,Alyda Blodg,24,$8369.94,,$509.14,$355.18,,false
5190633268,Mirabelle Labram,1,$8108.04,$3222.81,$243.72,$387.71,true,false
1667893262,Novelia Sarah,47,$10322.06,,$225.31,$120.88,true,true
3501842848,Antonino Molloy,01,$10703.26,,$390.98,$209.00,true,true
5171844615,Delcina Preble,811,$6813.67,$3596.47,$452.11,$345.56,,false
7518676001,Josee Trevithick,1659,$8943.56,$2713.84,$369.35,$284.42,,true
2576149960,Lorelle Radborne,8791,$9390.94,$3118.25,$577.13,$112.51,,true
3829474431,Butch Armatys,78,$5611.06,$2460.32,$378.16,$189.04,,true
3155930942,Tobie Delacour,0,$6918.31,,$427.96,$102.00,false,false
2151304574,Callie MacElroy,5,$13965.28,$1817.73,$514.65,$328.32,,true
0702229539,Laurene Nicklin,6,$3945.41,$3284.69,$505.26,$29.39,,false
4636852397,Mohammed Fontanet,85,$5769.75,$1850.08,$445.38,$241.36,true,true
3313285090,Lovell Garvagh,33299,$12328.09,$1846.99,$507.74,$25.41,,false
7466961525,Clea Pruce,900,$3443.73,$2872.48,$407.10,$229.04,,false
2789100608,Corbett Lakenton,4413,$3755.45,,$480.51,$207.86,true,true
0109269586,Korry Hrachovec,37409,$3100.33,$1766.93,$551.37,$243.20,,false
6993319764,Lucila Samwyse,52,$12952.92,$4540.66,$295.71,$110.91,,true
9691807548,Goldia Brockett,924,$3097.29,$1038.07,$439.93,$29.22,,false
2835462740,Renado Feathers,847,$14232.47,$4974.30,$292.15,$305.33,,true
7569824512,Samuele Glaysher,0,$5009.46,,$203.81,$364.02,true,true
7202025442,Georgianne Hedderly,5,$5723.35,$1590.95,$564.25,$34.90,true,true
9999778895,Aubrie Saffrin,640,$5257.75,,$232.84,$190.24,,true
0043304869,Hank Sample,15,$12380.44,$809.58,$341.87,$107.85,true,true
6745532956,Celinka Lucey,1,$8905.97,$4928.87,$439.34,$392.94,,true
2790393656,Jane Vivash,140,$5187.54,$4687.66,$290.65,$229.11,,true
4412520692,Ramon Winchcomb,182,$8587.81,,$599.84,$46.60,,true
3750070962,Gardie Lutz,509,$6733.78,$1896.79,$379.28,$212.28,,false
0534196349,Cesya Huntall,0600,$4463.21,$1590.98,$268.70,$158.08,,false
5037624797,Alana MacCaffrey,8,$11035.66,,$282.37,$368.00,,false
5643993384,Reidar Macenzy,26340,$14668.48,$2477.17,$474.04,$340.80,,true
